Rider Id,Contract Name,City Name,Created Date,Rule Name,Duration,violations
2085501,shorouk_mansoura_ftr,Riyadh,"Apr 18, 2025",Unauthorised app central suspension 3 day,3 Days,2
2539859,shorouk_mansoura_ftr,Riyadh,"Apr 19, 2025",Unauthorised app central suspension 3 day,3 Days,2
2539859,shorouk_mansoura_ftr,Riyadh,"Apr 20, 2025",Unauthorised app central suspension 3 day,3 Days,1
2085501,shorouk_mansoura_ftr,Riyadh,"Apr 19, 2025",Unauthorised app central suspension 3 day,3 Days,1
