Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2014388,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,14,13.42,13.42,0.9585714285714285,0.2588888888888889,1.0680555555555555,0.8461538461538461,0,0,0,14,11,12,1,2,1,0
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,7.25,6.79,6.79,0.9365517241379311,0.5027777777777778,0.009444444444444445,1,0,0,0,10,10,10,0,2,0,0
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,9.93,9.91,9.91,0.9979859013091642,0.2625,0.01361111111111111,0.8888888888888888,0,0,0,18,16,16,0,2,2,1
2642282,Riyadh,shorouk_mansoura_ftr,car,2,0,0,4,1,22.75,23.18,23.18,1,0.5069444444444444,0.1411111111111111,1,0.037037037037037035,0,0,26,27,26,0,0,0,0
2043795,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,15.39,15.14,15.14,0.9837556855100714,0,0.2594444444444444,0.9166666666666666,0,0,0,24,22,22,1,0,1,0
2040739,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,16.5,16.74,16.74,1,0,0.008611111111111111,0.8181818181818182,0,0,0,11,9,9,0,0,2,0
2539138,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,19.53,19.04,19.04,0.9749103942652328,0.76,3.765,1,0,0,0,22,21,22,0,6,0,0
2093069,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,13.75,14.74,14.74,1,0,0.01,1,0,0,0,21,21,21,0,2,0,0
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,4,1,23.25,24,24,1,0,0,1,0,0,0,26,26,26,0,0,0,0
2214748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,5,1,20.5,20.89,20.89,1,0,0,0.9666666666666667,0,0,0,30,29,29,0,2,1,0
2591050,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,20.25,21.31,21.31,1,0.5044444444444445,0.012777777777777779,1,0,0,0,25,24,25,0,4,0,0
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,21.25,21.96,21.96,1,0.2594444444444444,0.07222222222222222,0.8888888888888888,0,0,0,27,24,24,0,10,3,0
897401,Riyadh,shorouk_mansoura_ftr,car,4,0,0,3,1,7,4.61,4.61,0.6585714285714286,1.793611111111111,0.6008333333333333,0.25,0,0,0,8,2,2,0,0,6,1
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12,12.62,12.62,1,0,0,0.9230769230769231,0,0,0,13,13,12,0,2,1,0
2003967,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,17.25,17.75,17.75,1,0.49333333333333335,0.0038888888888888888,0.9583333333333334,0.045454545454545456,0,0,24,22,23,0,0,1,0
1817487,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,18.94,18.77,18.77,0.9910242872228088,0,0.6661111111111111,1,0,0,0,21,21,21,0,0,0,0
2061278,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,12.08,12.41,12.41,1,0,0.004722222222222222,0.9523809523809523,0,0,0,21,20,20,0,2,1,0
2597303,Riyadh,shorouk_mansoura_ftr,car,3,0,0,3,1,17.75,18,18,1,0,0.0125,1,0,0,0,17,17,17,0,0,0,0
2539859,Riyadh,shorouk_mansoura_ftr,car,4,0,0,3,1,13,12.47,12.47,0.9592307692307693,0,4.942222222222222,1,0,0,0,15,15,15,0,4,0,0
2604143,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,20.5,19.71,19.71,0.9614634146341464,0.3875,0.4072222222222222,1,0.08333333333333333,0,0,26,24,26,-1,2,1,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,11.5,11.82,11.82,1,0,0,0.9444444444444444,0.0625,0,0,18,16,17,0,0,1,0
2091736,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,17.25,16.62,16.62,0.9634782608695652,0.5122222222222222,0.6983333333333334,1,0.05555555555555555,0,0,18,18,18,0,6,0,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,17.25,18.04,18.04,1,0.25055555555555553,0,0.875,0,0,0,32,28,28,0,4,4,0
2014356,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,13,13.39,13.39,1,0.255,0,1,0,0,0,9,9,9,0,0,0,0
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,22,12.94,12.94,0.5881818181818181,0.5111111111111111,8.545277777777777,1,0,1,0.2,12,12,12,0,4,0,0
2085501,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,14.96,15.45,15.45,1,0,0.010833333333333334,0.9583333333333334,0,0,0,24,23,23,0,6,1,0
2061282,Riyadh,shorouk_mansoura_ftr,car,3,0,0,4,1,14.65,14.18,14.18,0.9679180887372013,0,0.9827777777777778,1,0.125,0,0,9,8,9,0,0,0,0
1811671,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,11.15,11.03,11.03,0.9892376681614349,0,0.12111111111111111,0.8947368421052632,0,0,0,19,17,17,0,2,2,0
2091748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,16.54,16.57,16.57,1,0.2725,0.005555555555555556,0.9333333333333333,0,0,0,31,28,29,0,7,2,0
