Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2040739,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,14.5,14.72,14.72,1,0,0.007222222222222222,0.9666666666666667,0,0,0,30,27,29,0,2,1,1
2642282,Riyadh,shorouk_mansoura_ftr,car,2,0,0,4,1,17.5,17.42,17.42,0.9954285714285716,0.5994444444444444,0.0002777777777777778,1,0,0,0,25,24,25,0,2,0,1
1817487,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,14.52,14.72,14.72,1,0,0.30083333333333334,1,0,0,0,25,25,25,0,6,0,0
2214748,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,19.75,20.49,20.49,1,0.2619444444444444,0,0.9310344827586207,0,0,0,29,27,27,0,6,2,0
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12.5,11.79,11.79,0.9431999999999999,0,0.9586111111111111,0.875,0,0,0,25,21,22,0,8,3,1
2539859,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,22,20,20,0.9090909090909091,1.1288888888888888,1.356111111111111,1,0,0,0,24,23,24,0,2,0,1
1811671,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,5.23,5.22,5.22,0.9980879541108986,0,0.011666666666666667,0.9090909090909091,0,0,0,11,10,10,0,2,1,0
2061278,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,14.65,14.65,14.65,1,0,0,0.9047619047619048,0.1111111111111111,0,0,21,17,19,0,0,2,1
2597303,Riyadh,shorouk_mansoura_ftr,car,3,0,0,3,1,16.25,16.37,16.37,1,0.26472222222222225,0.305,1,0,0,0,14,14,14,0,2,0,1
2014356,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,18.5,18.17,18.17,0.9821621621621622,0,0.3347222222222222,0.96,0,0,0,25,24,24,0,4,1,1
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,13.5,13.88,13.88,1,0,0.2313888888888889,0,0,0,0,0,27,0,0,0,0,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,12,11.01,11.01,0.9175,0.5225,0.7133333333333334,1,0.05555555555555555,0,0,18,18,18,0,6,0,0
2043795,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,13.38,13.42,13.42,1,0,0,1,0.034482758620689655,0,0,28,27,28,0,6,0,2
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,5,1,21.64,21.78,21.78,1,0.7963888888888889,0.0002777777777777778,0.9655172413793104,0.03333333333333333,0,0,29,28,28,0,4,1,2
2539138,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,22,21,21,0.9545454545454546,0.5336111111111111,0.4636111111111111,1,0.03571428571428571,0,0,28,28,28,0,6,0,0
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,5,1,15.56,15.49,15.49,0.9955012853470436,0.5119444444444444,0.008333333333333333,0.9411764705882353,0,0,0,35,32,33,0,0,2,1
2003967,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,19.5,19.87,19.87,1,0.25055555555555553,0.008611111111111111,0.9130434782608695,0,0,0,23,22,21,0,0,2,1
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,8.41,7.59,7.59,0.9024970273483948,0.2575,0.5711111111111111,0.5,0,0,0,4,2,2,0,0,2,0
2591050,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,20,20.99,20.99,1,0,0.013055555555555556,0.9565217391304348,0.043478260869565216,0,0,23,22,22,0,2,1,1
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,24,23.23,23.23,0.9679166666666666,0.5141666666666667,0.7572222222222222,1,0.07692307692307693,0,0,27,24,27,0,6,0,2
2014388,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,2,1,8.5,7.15,7.15,0.8411764705882353,0.25083333333333335,1.1022222222222222,0.8181818181818182,0,0,0,11,9,9,0,0,2,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,2,1,10.75,11.04,11.04,1,0,0,1,0.06666666666666667,0,0,16,15,16,0,4,0,0
2085501,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,4,1,18.5,18.48,18.48,0.9989189189189189,0.2569444444444444,0.011666666666666667,0.9047619047619048,0,0,0,22,20,20,0,6,2,0
2601456,Riyadh,shorouk_mansoura_ftr,car,1,0,0,4,1,19.25,20.11,20.11,1,0,0.0025,1,0.07142857142857142,0,0,14,14,14,0,0,0,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,18,18.91,18.91,1,0,0,0.9333333333333333,0,0,0,30,26,28,-1,6,3,1
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,17,14.33,14.33,0.8429411764705882,0.5005555555555555,2.171111111111111,0.9523809523809523,0,0,0,21,20,20,0,2,1,0
2061282,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,20.52,20.49,20.49,0.9985380116959064,0.035,0.009444444444444445,0.9444444444444444,0.058823529411764705,0,0,19,16,18,0,0,1,1
2604143,Riyadh,shorouk_mansoura_ftr,car,3,0,0,4,1,20.25,14.99,14.99,0.740246913580247,0.11944444444444445,5.140833333333333,1,0.045454545454545456,1,0.2,22,22,22,0,6,0,0
