Rider Id,City Name,Contract Name,Vehicle Name,Batch Number,TGA Status,Error Codes,# Shifts,Working Days,Planned Working Hours,Actual Working Hours,Avg. Working Hours/ Day,Attendance Rate,Break Hours,Lost Hours,Acceptance Rate,Contact Rate,No Shows,No Show %,Notified Deliveries,Completed Deliveries,Accepted Deliveries,Not Accepted Deliveries,Stacked Deliveries,Declined Deliveries,Cancelled Deliveries
2014382,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,5,1,18.61,18.2,18.2,0.9779688339602364,0.6797222222222222,0.18444444444444444,0.9411764705882353,0,0,0,35,32,33,0,8,2,0
2539859,Riyadh,shorouk_mansoura_ftr,car,4,0,0,3,1,14,14.1,14.1,1,0,0.6238888888888889,1,0,0,0,21,21,21,0,4,0,1
2597303,Riyadh,shorouk_mansoura_ftr,car,3,0,0,2,1,12.5,13.32,13.32,1,0.2633333333333333,0,1,0,0,0,15,15,15,0,2,0,0
1811671,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,6.67,6.57,6.57,0.9850074962518741,0,0.34944444444444445,0.8333333333333334,0.1111111111111111,0,0,12,9,10,0,0,2,0
2591050,Riyadh,shorouk_mansoura_ftr,car,4,0,0,5,1,21.75,20.59,20.59,0.9466666666666667,0,1.5986111111111112,1,0,0,0,28,27,28,0,4,0,4
2605310,Riyadh,shorouk_mansoura_ftr,car,2,0,0,5,1,23.75,22.98,22.98,0.9675789473684211,1.0175,0,1,0.07407407407407407,0,0,27,26,27,0,6,0,1
1817375,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,12.75,13.2,13.2,1,0.2611111111111111,0.0019444444444444444,0.9583333333333334,0.08333333333333333,0,0,25,23,24,0,4,1,1
2085501,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,13.25,13.75,13.75,1,0,0.0005555555555555556,1,0,0,0,23,24,23,0,2,0,0
1811713,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,21.75,22.94,22.94,1,0,0,0.9411764705882353,0.06451612903225806,0,0,35,31,33,0,6,2,0
2534170,Riyadh,shorouk_mansoura_ftr,bike,2,0,0,3,1,16.75,17.15,17.15,1,0.3386111111111111,0.0425,0.8666666666666667,0,0,0,15,13,13,0,0,2,0
2014356,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,3,1,13.01,12.84,12.84,0.9869331283627979,0.4891666666666667,0.17305555555555555,0.9090909090909091,0,0,0,22,20,20,1,2,1,0
1816464,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,3,1,8.65,7.89,7.89,0.9121387283236994,0.7641666666666667,0.0005555555555555556,0.25,0,0,0,4,1,1,0,0,3,0
2043550,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,16.25,12.26,12.26,0.7544615384615384,0.25083333333333335,4.0472222222222225,0.8947368421052632,0,0,0,20,17,18,0,0,2,0
2003965,Riyadh,shorouk_mansoura_ftr,bike,4,0,0,4,1,13.53,12.64,12.64,0.9342202512934221,1.385,0.006666666666666667,0.92,0,0,0,26,24,24,0,6,2,0
1817363,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,2,1,14.5,15,15,1,0,0.0008333333333333334,0.9666666666666667,0,0,0,30,29,29,0,2,1,0
1811873,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,18.15,18.02,18.02,0.9928374655647384,0.5144444444444445,0.005277777777777778,1,0.03333333333333333,0,0,31,29,31,0,4,0,1
2539138,Riyadh,shorouk_mansoura_ftr,car,3,0,0,5,1,22.25,20.67,20.67,0.9289887640449439,0.5066666666666667,1.3488888888888888,1,0.13333333333333333,0,0,33,28,33,0,2,0,2
2093069,Riyadh,shorouk_mansoura_ftr,bike,3,0,0,4,1,13.75,13.75,13.75,1,0,0,0.9523809523809523,0.05263157894736842,0,0,21,19,20,0,0,1,0
